ann_id,work,source_dataset,annotation_type,text,text_clean,t_start,t_end,clip_id,verb,noun,split,participant_id,verb_key,noun_key,verb_category,noun_category,hands,n_verbs,n_nouns,seg_dur_s
P01-20240202-110250-176,HD-EPIC,HD-EPIC,clip-narration, Pick up the knife from the chopping board using the right hand.,pick up the knife from the chopping board using the right hand.,302.99,303.72,P01-20240202-110250,pick up,knife,full,P01,take,knife,retrieve,cutlery,right hand,1,2,0.73
P01-20240202-110250-58,HD-EPIC,HD-EPIC,clip-narration, Pick up one orange using the right hand from the countertop.,pick up one orange using the right hand from the countertop.,101.81,102.93,P01-20240202-110250,pick up,one orange,full,P01,take,orange,retrieve,fruits and nuts,right hand,1,2,1.12
P01-20240202-161354-135,HD-EPIC,HD-EPIC,clip-narration, put down the second pan on the hob using the left hand on the far side.,put down the second pan on the hob using the left hand on the far side.,260.98,262.06,P01-20240202-161354,put down,second pan,full,P01,put,pan,leave,cookware,left hand,1,3,1.08
P01-20240202-161948-234,HD-EPIC,HD-EPIC,clip-narration, Close the cupboard using the left hand. This action is off screen.,close the cupboard using the left hand. this action is off screen.,571.36,572.06,P01-20240202-161948,close,cupboard,full,P01,close,cupboard,block,storage,left hand,1,1,0.7
P01-20240202-161948-258,HD-EPIC,HD-EPIC,clip-narration, Pick up the fork from the countertop using the right hand.,pick up the fork from the countertop using the right hand.,655.63,655.96,P01-20240202-161948,pick up,fork,full,P01,take,fork,retrieve,cutlery,right hand,1,2,0.33
P01-20240202-161948-278,HD-EPIC,HD-EPIC,clip-narration," While holding the pan with the left hand, stir the content of the pan with the spatula that's being held with the right hand, mixing the pasta with the pasta sauce, stirring and turning the content to mix fully.","while holding the pan with the left hand, stir the content of the pan with the spatula that's being held with the right hand, mixing the pasta with the pasta sauce, stirring and turning the content to mix fully.",702.13,738.09,P01-20240202-161948,hold,pan,full,P01,mix,pan,merge,cookware,"left hand, right hand",4,6,35.96
P01-20240202-161948-283,HD-EPIC,HD-EPIC,clip-narration," Remove the plate from the scale and place it on the countertop, using the right hand.","remove the plate from the scale and place it on the countertop, using the right hand.",743.49,744.41,P01-20240202-161948,remove,plate,full,P01,remove,plate,retrieve,crockery,right hand,2,3,0.92
P01-20240202-171220-114,HD-EPIC,HD-EPIC,clip-narration, Drink water from the glass.,drink water from the glass.,185.91,190.95,P01-20240202-171220,drink,water,full,P01,drink,water,sense,drinks,,1,2,5.04
P01-20240202-195538-70,HD-EPIC,HD-EPIC,clip-narration, Pick up a spoon from the cutlery tray in the drawer.,pick up a spoon from the cutlery tray in the drawer.,122.52,124.07,P01-20240202-195538,pick up,spoon,full,P01,take,spoon,retrieve,cutlery,,1,3,1.55
P01-20240203-093333-47,HD-EPIC,HD-EPIC,clip-narration,"Pick up the mug from under the nozzle of the coffee machine. Once the mug is removed, the shelf is dropped automatically.","pick up the mug from under the nozzle of the coffee machine. once the mug is removed, the shelf is dropped automatically.",109.01,113.56,P01-20240203-093333,pick up,mug,full,P01,take,cup,retrieve,crockery,,1,3,4.55
