ann_id,work,source_dataset,annotation_type,text,text_clean,t_start,t_end,clip_id,verb,noun,verb_category,split,task,llm_type,which,alt_description,env_table,env_position,env_background,n_objects
test/add_remove_lid/10,EgoDex,EgoDex,task-instruction,Remove the lid from the cup placed on a wooden table while sitting against a brown background.,remove the lid from the cup placed on a wooden table while sitting against a brown background.,,,add_remove_lid,remove,cup,remove,test,Add Remove Lid,reversible,2,Add a lid onto a cup placed on a wooden table while sitting against a brown background.,wood,sitting,brown,2
test/add_remove_lid/2,EgoDex,EgoDex,task-instruction,Place lids onto four cups on a wooden table with a red background.,place lids onto four cups on a wooden table with a red background.,,,add_remove_lid,add,cup,add,test,Add Remove Lid,reversible,1,Remove lids from four cups on a wooden table with a red background.,wood,sitting,red,2
test/add_remove_lid/8,EgoDex,EgoDex,task-instruction,Add a lid onto a cup placed on a wooden table.,add a lid onto a cup placed on a wooden table.,,,add_remove_lid,add,cup,add,test,Add Remove Lid,reversible,1,Remove the lid from the cup placed on a wooden table.,wood,sitting,brown,2
test/arrange_topple_dominoes/4,EgoDex,EgoDex,task-instruction,Arrange dominoes upright in a pattern on a green table.,arrange dominoes upright in a pattern on a green table.,,,arrange_topple_dominoes,arrange,dominoes,arrange,test,arrange_topple_dominoes,reversible,1,Topple the arranged dominoes on the green table.,green,sitting,white,2
test/assemble_disassemble_furniture_bench_chair/1,EgoDex,EgoDex,task-instruction,Assemble a chair from furniture bench while sitting at a table with a blue tablecloth and pink background.,assemble a chair from furniture bench while sitting at a table with a blue tablecloth and pink background.,,,assemble_disassemble_furniture_bench_chair,assemble,chair,assemble,test,assemble_disassemble_furniture_bench_chair,reversible,1,Disassemble a chair from furniture bench while sitting at a table with a blue tablecloth and pink background.,,sitting,pink,1
test/assemble_disassemble_furniture_bench_chair/42,EgoDex,EgoDex,task-instruction,Disassemble a chair while sitting at a table with a blue tablecloth and pink background.,disassemble a chair while sitting at a table with a blue tablecloth and pink background.,,,assemble_disassemble_furniture_bench_chair,disassemble,chair,disassemble,test,assemble_disassemble_furniture_bench_chair,reversible,2,Assemble a chair while sitting at a table with a blue tablecloth and pink background.,,sitting,pink,1
test/assemble_disassemble_furniture_bench_chair/50,EgoDex,EgoDex,task-instruction,Disassemble a chair while sitting against a lavender background.,disassemble a chair while sitting against a lavender background.,,,assemble_disassemble_furniture_bench_chair,disassemble,chair,disassemble,test,assemble_disassemble_furniture_bench_chair,reversible,2,Assemble a chair while sitting against a lavender background.,,sitting,lavender,1
test/assemble_disassemble_furniture_bench_chair/58,EgoDex,EgoDex,task-instruction,Assemble a chair while sitting against a lavender background.,assemble a chair while sitting against a lavender background.,,,assemble_disassemble_furniture_bench_chair,assemble,chair,assemble,test,assemble_disassemble_furniture_bench_chair,reversible,1,Disassemble a chair while sitting against a lavender background.,,sitting,lavender,1
test/assemble_disassemble_furniture_bench_chair/65,EgoDex,EgoDex,task-instruction,Assemble a chair while sitting against a lavender background.,assemble a chair while sitting against a lavender background.,,,assemble_disassemble_furniture_bench_chair,assemble,chair,assemble,test,assemble_disassemble_furniture_bench_chair,reversible,1,Disassemble a chair while sitting against a lavender background.,,sitting,lavender,1
test/assemble_disassemble_furniture_bench_chair/69,EgoDex,EgoDex,task-instruction,Assemble a chair while sitting at a table with a blue tablecloth and pink background.,assemble a chair while sitting at a table with a blue tablecloth and pink background.,,,assemble_disassemble_furniture_bench_chair,assemble,chair,assemble,test,assemble_disassemble_furniture_bench_chair,reversible,1,Disassemble a chair while sitting at a table with a blue tablecloth and pink background.,,sitting,pink,1
test/assemble_disassemble_furniture_bench_chair/79,EgoDex,EgoDex,task-instruction,Disassemble a chair while sitting at a table with a blue tablecloth and pink background.,disassemble a chair while sitting at a table with a blue tablecloth and pink background.,,,assemble_disassemble_furniture_bench_chair,disassemble,chair,disassemble,test,assemble_disassemble_furniture_bench_chair,reversible,2,Assemble a chair while sitting at a table with a blue tablecloth and pink background.,,sitting,pink,1
test/assemble_disassemble_furniture_bench_chair/86,EgoDex,EgoDex,task-instruction,Assemble a chair from furniture bench while sitting at a table with a blue tablecloth and pink background.,assemble a chair from furniture bench while sitting at a table with a blue tablecloth and pink background.,,,assemble_disassemble_furniture_bench_chair,assemble,chair,assemble,test,assemble_disassemble_furniture_bench_chair,reversible,1,Disassemble a chair from furniture bench while sitting at a table with a blue tablecloth and pink background.,,sitting,pink,1
