ann_id,work,source_dataset,annotation_type,text,text_clean,t_start,t_end,clip_id,verb,noun,verb_category,subject,split,count
egoclip-0,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks around,looks around,,,,look,around,look,camera_wearer,full,80081
egoclip-1,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks around,walks around,,,,walk,around,walk,camera_wearer,full,28374
egoclip-2,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C turns around,turns around,,,,turn,around,turn,camera_wearer,full,13405
egoclip-3,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C moves around.,moves around,,,,move,around,move,camera_wearer,full,7484
egoclip-4,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks around the room,walks around the room,,,,walk,room,walk,camera_wearer,full,5884
egoclip-5,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks around the room,looks around the room,,,,look,room,look,camera_wearer,full,5573
egoclip-6,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks in the room.,walks in the room,,,,walk,room,walk,camera_wearer,full,4768
egoclip-7,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks around the house,walks around the house,,,,walk,house,walk,camera_wearer,full,4168
egoclip-8,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C stands up,stands up,,,,stand,up,stand,camera_wearer,full,3971
egoclip-9,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C adjusts the camera,adjusts the camera,,,,adjust,camera,adjust,camera_wearer,full,3801
egoclip-10,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks around the house,looks around the house,,,,look,house,look,camera_wearer,full,3540
egoclip-11,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks at the laptop.,looks at the laptop,,,,look,laptop,look,camera_wearer,full,3535
egoclip-12,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C moves hand,moves hand,,,,move,hand,move,camera_wearer,full,3478
egoclip-13,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C turns to the side,turns to the side,,,,turn,side,turn,camera_wearer,full,3410
egoclip-14,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C opens the tap.,opens the tap,,,,open,tap,open,camera_wearer,full,2906
egoclip-15,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks in the house,walks in the house,,,,walk,house,walk,camera_wearer,full,2856
egoclip-16,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C closes the tap.,closes the tap,,,,close,tap,close,camera_wearer,full,2827
egoclip-17,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C moves the hand.,moves the hand,,,,move,hand,move,camera_wearer,full,2781
egoclip-18,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks around the kitchen.,walks around the kitchen,,,,walk,kitchen,walk,camera_wearer,full,2755
egoclip-19,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C pulls the thread,pulls the thread,,,,pull,thread,pull,camera_wearer,full,2569
egoclip-20,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C reads the book,reads the book,,,,read,book,read,camera_wearer,full,2544
egoclip-21,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks forward.,walks forward,,,,walk,forward,walk,camera_wearer,full,2521
egoclip-22,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C operates the phone,operates the phone,,,,operate,phone,operate,camera_wearer,full,2520
egoclip-23,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C opens the fridge,opens the fridge,,,,open,fridge,open,camera_wearer,full,2287
egoclip-24,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C paints the wall,paints the wall,,,,paint,wall,paint,camera_wearer,full,2283
egoclip-25,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C talks to man X,talks to man x,,,,talk,man,talk,camera_wearer,full,2278
egoclip-26,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks at the phone,looks at the phone,,,,look,phone,look,camera_wearer,full,2178
egoclip-27,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C opens the door.,opens the door,,,,open,door,open,camera_wearer,full,2148
egoclip-28,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C swings hand,swings hand,,,,swing,hand,swing,camera_wearer,full,2116
egoclip-29,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C closes the drawer,closes the drawer,,,,close,drawer,close,camera_wearer,full,2111
egoclip-30,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C Looks around a room,looks around a room,,,,look,room,look,camera_wearer,full,2111
egoclip-31,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C opens the drawer.,opens the drawer,,,,open,drawer,open,camera_wearer,full,2036
egoclip-32,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#c c walks on the road,walks on the road,,,,walk,road,walk,camera_wearer,full,2026
egoclip-33,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C moves the right hand,moves the right hand,,,,move,right,move,camera_wearer,full,2019
egoclip-34,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C uses the phone,uses the phone,,,,use,phone,use,camera_wearer,full,1984
egoclip-35,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks on the floor,walks on the floor,,,,walk,floor,walk,camera_wearer,full,1946
egoclip-36,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C bends down,bends down,,,,bend,down,bend,camera_wearer,full,1909
egoclip-37,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C scrolls the phone,scrolls the phone,,,,scroll,phone,scroll,camera_wearer,full,1905
egoclip-38,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C reads a book,reads a book,,,,read,book,read,camera_wearer,full,1863
egoclip-39,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C knits the fabric,knits the fabric,,,,knit,fabric,knit,camera_wearer,full,1860
egoclip-40,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks in the kitchen.,walks in the kitchen,,,,walk,kitchen,walk,camera_wearer,full,1829
egoclip-41,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#c c walks on the pavement,walks on the pavement,,,,walk,pavement,walk,camera_wearer,full,1801
egoclip-42,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C steps forward.,steps forward,,,,step,forward,step,camera_wearer,full,1798
egoclip-43,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#O A man X talks to C,man x talks to c,,,,man,talks,man,other_person,full,1768
egoclip-44,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C moves hands,moves hands,,,,move,hands,move,camera_wearer,full,1675
egoclip-45,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C closes the fridge,closes the fridge,,,,close,fridge,close,camera_wearer,full,1668
egoclip-46,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C moves his hand,moves his hand,,,,move,hand,move,camera_wearer,full,1637
egoclip-47,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks around the compound,walks around the compound,,,,walk,compound,walk,camera_wearer,full,1587
egoclip-48,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C picks a book,picks a book,,,,pick,book,pick,camera_wearer,full,1576
egoclip-49,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks around the table,looks around the table,,,,look,table,look,camera_wearer,full,1533
egoclip-50,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks at the book,looks at the book,,,,look,book,look,camera_wearer,full,1437
egoclip-51,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C stares around,stares around,,,,stare,around,stare,camera_wearer,full,1406
egoclip-52,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks down,looks down,,,,look,down,look,camera_wearer,full,1388
egoclip-53,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C moves the left hand,moves the left hand,,,,move,left,move,camera_wearer,full,1368
egoclip-54,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C watches television.,watches television,,,,watch,television,watch,camera_wearer,full,1352
egoclip-55,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C rolls the dough,rolls the dough,,,,roll,dough,roll,camera_wearer,full,1340
egoclip-56,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C Moves a hand,moves a hand,,,,move,hand,move,camera_wearer,full,1332
egoclip-57,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C uses phone,uses phone,,,,use,phone,use,camera_wearer,full,1310
egoclip-58,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C operates a phone,operates a phone,,,,operate,phone,operate,camera_wearer,full,1305
egoclip-59,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#O a woman X talks to C,woman x talks to c,,,,woman,talks,woman,other_person,full,1299
egoclip-60,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C converses with woman X.,converses with woman x,,,,converse,woman,converse,camera_wearer,full,1286
egoclip-61,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks around the compound,looks around the compound,,,,look,compound,look,camera_wearer,full,1283
egoclip-62,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C raises hand,raises hand,,,,raise,hand,raise,camera_wearer,full,1271
egoclip-63,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks around the kitchen.,looks around the kitchen,,,,look,kitchen,look,camera_wearer,full,1261
egoclip-64,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks at the table,looks at the table,,,,look,table,look,camera_wearer,full,1259
egoclip-65,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks in the garage,walks in the garage,,,,walk,garage,walk,camera_wearer,full,1248
egoclip-66,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks around the garage,walks around the garage,,,,walk,garage,walk,camera_wearer,full,1240
egoclip-67,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C Turns around the room,turns around the room,,,,turn,room,turn,camera_wearer,full,1206
egoclip-68,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks around the workshop,walks around the workshop,,,,walk,workshop,walk,camera_wearer,full,1196
egoclip-69,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C lifts his hand,lifts his hand,,,,lift,hand,lift,camera_wearer,full,1161
egoclip-70,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C opens a drawer,opens a drawer,,,,open,drawer,open,camera_wearer,full,1154
egoclip-71,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks forward,looks forward,,,,look,forward,look,camera_wearer,full,1144
egoclip-72,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C moves around the room,moves around the room,,,,move,room,move,camera_wearer,full,1143
egoclip-73,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C plays the guitar,plays the guitar,,,,play,guitar,play,camera_wearer,full,1129
egoclip-74,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C talks to person X,talks to person x,,,,talk,person,talk,camera_wearer,full,1122
