ann_id,annotation_type,stream,text,text_zh,t_start,t_end,clip_id,verb,noun,verb_category,work,source_dataset,split,text_clean,seg_dur_s
prim:scene_01__A001++seq__0b3d183d6b2e90eefd66__2023-04-27-20-38-16:0,atomic-substep,primitive_task,Press the button on the scale.,按下秤上的按钮。,9.125,12.225,scene_01__A001++seq__0b3d183d6b2e90eefd66__2023-04-27-20-38-16,press,button,access,OakInk2,OakInk2,full,press the button on the scale.,3.1
prim:scene_01__A001++seq__178ef1f9fed87514a792__2023-04-27-20-10-13:1,atomic-substep,primitive_task,Wipe the plate with the sponge.,用海绵擦碟子。,39.475,60.917,scene_01__A001++seq__178ef1f9fed87514a792__2023-04-27-20-10-13,wipe,plate,clean,OakInk2,OakInk2,full,wipe the plate with the sponge.,21.442
prim:scene_01__A001++seq__5ad66440a8b11dd306f3__2023-04-27-19-41-45:0,atomic-substep,primitive_task,Scoop the drinks with the spoon from the gray-green porcelain bottle to the bowl.,用调羹将饮料从灰绿色瓷瓶舀到碗。,9.408,29.992,scene_01__A001++seq__5ad66440a8b11dd306f3__2023-04-27-19-41-45,scoop,drinks,retrieve,OakInk2,OakInk2,full,scoop the drinks with the spoon from the gray-green porcelain bottle to the bowl.,20.584
prim:scene_01__A001++seq__6c1ba97ea5706da1a997__2023-04-27-19-18-25:3,atomic-substep,primitive_task,Place the plate onto the platform of the scale.,将碟子放置于秤的平台上。,11.458,16.758,scene_01__A001++seq__6c1ba97ea5706da1a997__2023-04-27-19-18-25,place,plate,leave,OakInk2,OakInk2,full,place the plate onto the platform of the scale.,5.3
prim:scene_01__A001++seq__6c1ba97ea5706da1a997__2023-04-27-19-18-25:4,atomic-substep,primitive_task,Press the button on the scale.,按下秤上的按钮。,18.392,18.8,scene_01__A001++seq__6c1ba97ea5706da1a997__2023-04-27-19-18-25,press,button,access,OakInk2,OakInk2,full,press the button on the scale.,0.408
prim:scene_01__A001++seq__6c1ba97ea5706da1a997__2023-04-27-19-18-25:5,atomic-substep,primitive_task,Place the donut inside the plate.,将甜甜圈放入碟子。,25.467,31.408,scene_01__A001++seq__6c1ba97ea5706da1a997__2023-04-27-19-18-25,place,donut,leave,OakInk2,OakInk2,full,place the donut inside the plate.,5.941
prim:scene_01__A001++seq__7b59fe2ad75bfac282b2__2023-04-27-18-37-44:0,atomic-substep,primitive_task,Unscrew the cap of the blue striped bottle.,拧开蓝色条纹瓶的盖子。,10.383,29.058,scene_01__A001++seq__7b59fe2ad75bfac282b2__2023-04-27-18-37-44,unscrew,cap,manipulate,OakInk2,OakInk2,full,unscrew the cap of the blue striped bottle.,18.675
prim:scene_01__A001++seq__9588d8284630e2f14b82__2023-04-27-20-17-40:0,atomic-substep,primitive_task,Pour the juice from the tall blue mug to the bowl.,将果汁从较高的蓝色马克杯倒到碗。,10.508,27.125,scene_01__A001++seq__9588d8284630e2f14b82__2023-04-27-20-17-40,pour,juice,merge,OakInk2,OakInk2,full,pour the juice from the tall blue mug to the bowl.,16.617
prim:scene_01__A001++seq__9588d8284630e2f14b82__2023-04-27-20-17-40:1,atomic-substep,primitive_task,Stir in the bowl with the rod.,用搅拌棒在碗中搅拌。,30.725,57.042,scene_01__A001++seq__9588d8284630e2f14b82__2023-04-27-20-17-40,stir,rod,merge,OakInk2,OakInk2,full,stir in the bowl with the rod.,26.317
prim:scene_01__A001++seq__99369773ed8032d1e35d__2023-04-27-20-48-38:0,atomic-substep,primitive_task,Place the plate onto the platform of the scale.,将碟子放置于秤的平台上。,8.65,15.725,scene_01__A001++seq__99369773ed8032d1e35d__2023-04-27-20-48-38,place,plate,leave,OakInk2,OakInk2,full,place the plate onto the platform of the scale.,7.075
