ann_id,work,source_dataset,annotation_type,text,text_clean,t_start,t_end,clip_id,verb,noun,verb_category,split,count
egovid-0,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"hold small object, bring object closer to mouth, take bite, screen fade to black","hold small object, bring object closer to mouth, take bite, screen fade to black",,,,hold,small,hold,full,302
egovid-1,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffle cards, deal cards, hold cards","shuffle cards, deal cards, hold cards",,,,hold,shuffle,hold,full,192
egovid-2,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding wood, positioning wood on table saw, adjusting wood, preparing to cut","holding wood, positioning wood on table saw, adjusting wood, preparing to cut",,,,hold,wood,hold,full,166
egovid-3,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding wood, positioning wood, adjusting wood, aligning wood","holding wood, positioning wood, adjusting wood, aligning wood",,,,hold,wood,hold,full,165
egovid-4,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, reading book, flipping pages, pausing to read","sitting, reading book, flipping pages, pausing to read",,,,sit,reading,sit,full,157
egovid-5,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"handling cards, shuffling cards, dealing cards","handling cards, shuffling cards, dealing cards",,,,handle,cards,handle,full,152
egovid-6,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing piano, hands moving across keys, reading sheet music","playing piano, hands moving across keys, reading sheet music",,,,move,playing,move,full,142
egovid-7,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sit, knit, adjust position","sit, knit, adjust position",,,,adjust,knit,adjust,full,142
egovid-8,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"standing, holding chainsaw, cutting branches, maneuvering chainsaw, trimming branches","standing, holding chainsaw, cutting branches, maneuvering chainsaw, trimming branches",,,,stand,chainsaw,stand,full,141
egovid-9,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffling cards, dealing cards, holding cards","shuffling cards, dealing cards, holding cards",,,,hold,shuffling,hold,full,141
egovid-10,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, knitting, manipulating yarn, creating stitches","sitting, knitting, manipulating yarn, creating stitches",,,,sit,knitting,sit,full,138
egovid-11,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding deck, shuffling cards, dealing cards","holding deck, shuffling cards, dealing cards",,,,hold,deck,hold,full,137
egovid-12,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, reading book, turning pages","sitting, reading book, turning pages",,,,sit,reading,sit,full,137
egovid-13,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, reading book, holding book, flipping pages","sitting, reading book, holding book, flipping pages",,,,sit,reading,sit,full,135
egovid-14,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, knitting, adjusting position","sitting, knitting, adjusting position",,,,sit,knitting,sit,full,132
egovid-15,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, handling cards, shuffling cards, arranging cards","sitting, handling cards, shuffling cards, arranging cards",,,,sit,cards,sit,full,131
egovid-16,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding cylindrical object, rotating cylindrical object","sitting, holding cylindrical object, rotating cylindrical object",,,,sit,cylindrical,sit,full,128
egovid-17,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, reading book, holding book, turning pages","sitting, reading book, holding book, turning pages",,,,sit,reading,sit,full,122
egovid-18,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding smartphone, interacting with smartphone","sitting, holding smartphone, interacting with smartphone",,,,sit,smartphone,sit,full,120
egovid-19,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"dealing cards, holding stack of cards","dealing cards, holding stack of cards",,,,hold,dealing,hold,full,120
egovid-20,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing drum set, using drumsticks, moving hands rhythmically","playing drum set, using drumsticks, moving hands rhythmically",,,,use,playing,use,full,119
egovid-21,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing piano, hands moving across keys, following sheet music","playing piano, hands moving across keys, following sheet music",,,,move,playing,move,full,115
egovid-22,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, talking, gesturing","sitting, talking, gesturing",,,,sit,talking,sit,full,114
egovid-23,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub plate, rinse plate, place plate","wash dishes, scrub plate, rinse plate, place plate",,,,wash,dishes,wash,full,112
egovid-24,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing drum set, using drumsticks","playing drum set, using drumsticks",,,,use,playing,use,full,111
egovid-25,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding plate, picking up beads, placing beads onto fabric, working on embroidery","holding plate, picking up beads, placing beads onto fabric, working on embroidery",,,,hold,plate,hold,full,110
