ann_id,work,source_dataset,annotation_type,text,text_clean,t_start,t_end,clip_id,verb,noun,verb_category,split,has_answer,answer_idx,options,n_options
00594c2d-1c89-47ec-aa3f-1c560cab3d26,EgoSchema,Ego4D (EgoSchema),vqa,"What role do you think the actions performed by the woman in the video serve in the larger context of the video, and how do they contribute to the overall story?","what role do you think the actions performed by the woman in the video serve in the larger context of the video, and how do they contribute to the overall story?",,,00594c2d-1c89-47ec-aa3f-1c560cab3d26,what,think,what,test,False,-1,"The woman supports c by actively participating in the process of cutting bean pods and extracting beans from them. ||| The woman mainly focuses on cutting various types of vegetables alongside c in the video. ||| The actions of the woman are unrelated to c's tasks and do not contribute to the overall story. ||| The woman is responsible for organizing the kitchen and making sure everything is in its proper place. ||| The woman's actions, such as pouring water and handling cups, serve as complementary tasks to c's main activity.",5
0380c639-dbe6-4920-9981-aceb2635cd2f,EgoSchema,Ego4D (EgoSchema),vqa,"As observed throughout the video, how does character c demonstrate organization and preparation in the context of the kitchen?","as observed throughout the video, how does character c demonstrate organization and preparation in the context of the kitchen?",,,0380c639-dbe6-4920-9981-aceb2635cd2f,how,observed,how,test,False,-1,Cleaning the kitchen and putting away dishes ||| Preparing a meal and setting the table ||| Adjusting and placing items in the fridge and cabinet ||| Organizing the pantry and labeling containers ||| Sorting and arranging kitchen utensils and appliances,5
04aa8f4b-b6c2-4902-8209-2ab5f4350df6,EgoSchema,Ego4D (EgoSchema),vqa,"Compare and contrast the different techniques c used for cleaning various items within the video, and explain why each one was appropriate for the situation.","compare and contrast the different techniques c used for cleaning various items within the video, and explain why each one was appropriate for the situation.",,,04aa8f4b-b6c2-4902-8209-2ab5f4350df6,describe,compare,describe,test,False,-1,"C primarily relied on the sponge and towel, employing the soap when necessary, while using a hand-towel occasionally. ||| C used a towel for cleaning, sometimes with a sponge, soap, and chopsticks. ||| C displayed versatility by choosing the sponge, towel, and hand-towel, and placing the chopsticks in the sink. ||| C approached cleaning with a combination of a towel, sponge, soap, chopsticks, and container of soap. ||| C used the towel, sponge, soap, and hand-towel for different cleaning purposes.",5
04c06e07-3e45-4028-b6ca-c78cfbd83a3b,EgoSchema,Ego4D (EgoSchema),vqa,"Based on the video, describe the overall objective of the individual and discuss any notable strategies or techniques they employed to accomplish their goal.","based on the video, describe the overall objective of the individual and discuss any notable strategies or techniques they employed to accomplish their goal.",,,04c06e07-3e45-4028-b6ca-c78cfbd83a3b,describe,objective,describe,test,False,-1,"The individual was focused on painting a table, using a variety of brush strokes and techniques to ensure even coverage. ||| The individual aimed to paint a drawer, taking breaks to walk around and interact with others, which improved their painting technique. ||| The individual's goal was to paint a drawer, using their right hand for all actions, including adjusting the drawer and interacting with a woman. ||| The individual was painting a drawer, frequently changing their position and adjusting the drawer to ensure the paint dried evenly. ||| The individual's objective was to paint a drawer, frequently dipping the brush into the paint container and adjusting the drawer's position.",5
077d957e-dfa0-45db-9e97-a534f6c737f0,EgoSchema,Ego4D (EgoSchema),vqa,"Based on the video, identify the three most crucial moments in the construction process and explain their significance in achieving the desired outcome.","based on the video, identify the three most crucial moments in the construction process and explain their significance in achieving the desired outcome.",,,077d957e-dfa0-45db-9e97-a534f6c737f0,describe,three,describe,test,False,-1,"Removing drill bits, examining lumbers, and adjusting power drill settings. ||| Hammering nails, applying groove joints, and assembling corner braces. ||| Checking the plumb of a frame with a spirit level, tightening screws, and trimming excess material from the edges. ||| Measuring lumber, drilling, and straightening deck rail cable. ||| Installing wall mounts, incorporating edge trims, and connecting to a support beam.",5
07e66d3d-7ac0-4804-98cf-49afc934a26f,EgoSchema,Ego4D (EgoSchema),vqa,"Considering the repetitive actions throughout the video, can you identify the main focus and purpose of c's actions, and how each contributes to the final product?","considering the repetitive actions throughout the video, can you identify the main focus and purpose of c's actions, and how each contributes to the final product?",,,07e66d3d-7ac0-4804-98cf-49afc934a26f,describe,repetitive,describe,test,False,-1,"C meticulously arranges the ingredients in a specific order, ensuring that each slice of bread is perfectly aligned with the burger. ||| The main focus is assembling a burger with various ingredients, including bread, boiled egg, cucumber, and leaves. ||| C's primary goal is to create a visually appealing burger by carefully arranging the ingredients and adjusting them throughout the process. ||| C's actions aim to show the correct usage of utensils and hands in assembling a multi-component burger. ||| C's main focus is to showcase his dexterity and hand-eye coordination while assembling a complex burger with numerous ingredients.",5
08bffc25-7d3d-4681-a93f-d4fa027bc42c,EgoSchema,Ego4D (EgoSchema),vqa,"Considering the main actions involving the paint sprayer, summarize the key steps c took to utilize and manipulate the device without listing all the individual actions.","considering the main actions involving the paint sprayer, summarize the key steps c took to utilize and manipulate the device without listing all the individual actions.",,,08bffc25-7d3d-4681-a93f-d4fa027bc42c,describe,involving,describe,test,False,-1,"C lifts the paint sprayer, sprays the board, walks around, and looks around. ||| C sprays the board multiple times, refills the paint sprayer, and unplugs it. ||| C moves the hands, sprays the board, and opens the paint pot. ||| C lifts the paint sprayer, sprays the board, and stretches the tube. ||| C looks around, sprays the board, and walks around with the paint sprayer.",5
0903cbe1-3b19-4e13-b0a1-963f0979be0d,EgoSchema,Ego4D (EgoSchema),vqa,"Summarize how c and the woman interact with their food items differently, considering multiple levels of engagement during the video.","summarize how c and the woman interact with their food items differently, considering multiple levels of engagement during the video.",,,0903cbe1-3b19-4e13-b0a1-963f0979be0d,describe,woman,describe,test,False,-1,"C eating with their hands and the woman using utensils ||| C engaging extensively with adjusting bowls, while the woman is focused on tacos ||| Both c and the woman using a spoon interchangeably and eating with hands ||| C primarily uses a spoon and the woman mainly eats with her hand ||| C and the woman rarely engaging with food, focusing more on conversation",5
090ec9a9-d59c-427c-866e-cb42bcc910b5,EgoSchema,Ego4D (EgoSchema),vqa,Summarize the main steps taken by c while preparing the soil and planting the seeds throughout the video. focus specifically on the different actions taken to facilitate the planting process.,summarize the main steps taken by c while preparing the soil and planting the seeds throughout the video. focus specifically on the different actions taken to facilitate the planting process.,,,090ec9a9-d59c-427c-866e-cb42bcc910b5,describe,steps,describe,test,False,-1,"C pours seeds onto his hand, plants them along the tilled soil, and covers the soil with a garden hoe. ||| C sows seeds, clears debris, and covers soil with a hoe. ||| C pours seeds onto his hand, plants them along the tilled soil, removes grasses and stones, and covers the soil with a garden hoe, then rests the packet of seeds by the net fence. ||| C pours seeds onto his hand, plants them along the tilled soil, removes grasses and stones, covers the soil with a garden hoe, and picks up grasses from the covered ground. ||| C pours seeds onto his hand, plants them along the tilled soil, removes grasses and stones, covers the soil with a garden hoe, and walks towards a net fence.",5
0a01d7d0-11d6-4af6-abd9-2025656d3c63,EgoSchema,Ego4D (EgoSchema),vqa,Analyze the importance and context of c's tea-drinking moments in the video. what could be their purpose?,analyze the importance and context of c's tea-drinking moments in the video. what could be their purpose?,,,0a01d7d0-11d6-4af6-abd9-2025656d3c63,describe,importance,describe,test,False,-1,"C's tea-drinking moments in the video were important because they were a way for c to stay hydrated. c drank a lot of tea throughout the video, and it helped them to stay energized. ||| C's tea-drinking moments in the video were important because they were a way for c to socialize. c drank tea with a friend at the beginning of the video, and it helped them to connect with each other. ||| C's tea-drinking moments in the video were important because they were a way for c to take a break from the sewing. c seemed to enjoy drinking tea, and it helped them to relax and focus on the task at hand. ||| C's tea-drinking moments in the video were important because they were a way for c to mark the progress of the sewing. c drank tea at the beginning, middle, and end of the video, and it helped them to track their progress. ||| C's tea-drinking moments in the video were important because they provided breaks from the sewing. c seemed to enjoy drinking tea, and it helped them to relax and focus on the task at hand.",5
0a68f3ce-b65c-4681-82b0-e7c5b90d5052,EgoSchema,Ego4D (EgoSchema),vqa,"What sequence of tools and techniques does c use to clean the bicycle throughout the video, and why might this order be significant for an effective cleaning process?","what sequence of tools and techniques does c use to clean the bicycle throughout the video, and why might this order be significant for an effective cleaning process?",,,0a68f3ce-b65c-4681-82b0-e7c5b90d5052,what,tools,what,test,False,-1,"C uses a brush, soap, pressure pump, and kettle for an organized, step-by-step bicycle cleaning. ||| C cleans systematically with a brush, soap, pressure pump, sponge, and hairdryer. ||| C employs a brush in both hands, applies soap with a spray, uses a pressure pump with a sponge, and finally rinses with a kettle for a comprehensive cleaning process. ||| C opts for a brush, sprinkles soap throughout, utilizes a pressure pump accompanied by a hose, and eventually rinses the bicycle with a kettle for efficient cleaning. ||| C cleans the bicycle using a brush, a soap dispenser, a pressure pump with both hands, and then a kettle for rinsing to ensure a detailed cleaning process.",5
0a75ef54-5050-4afe-bc51-057471866c8c,EgoSchema,Ego4D (EgoSchema),vqa,"Based on the video, what is the main activity being performed by c and how do her actions contribute to the outcome of this activity?","based on the video, what is the main activity being performed by c and how do her actions contribute to the outcome of this activity?",,,0a75ef54-5050-4afe-bc51-057471866c8c,what,being,what,test,False,-1,"C is painting a picture. ||| Currently, person c is meticulously cleaning the surface of the table. ||| Currently, c is in the process of making a delicious sandwich. ||| Currently, c is in the process of diligently writing a letter. ||| C is doing her homework.",5
0aadf5ce-07eb-4934-9e07-317a46bc0b21,EgoSchema,Ego4D (EgoSchema),vqa,"Based on the actions described in the video, what can be inferred as the primary goal or task being performed by the character c?","based on the actions described in the video, what can be inferred as the primary goal or task being performed by the character c?",,,0aadf5ce-07eb-4934-9e07-317a46bc0b21,describe,described,describe,test,True,0,C is building a shelf. ||| C is repairing a shelf. ||| C is taking apart a shelf. ||| C is cleaning a shelf. ||| C is painting a shelf.,5
0aae86ee-068d-4ed4-b936-25c061f063e8,EgoSchema,Ego4D (EgoSchema),vqa,"Summarize the major patterns of actions c performs in the video, and discuss how they relate to the process of planting collard greens.","summarize the major patterns of actions c performs in the video, and discuss how they relate to the process of planting collard greens.",,,0aae86ee-068d-4ed4-b936-25c061f063e8,describe,major,describe,test,False,-1,"C picks collard greens from the ground, plants them in the ground, and then waters them. ||| C picks collard greens from the ground, plants them in the ground, and then fertilizes them. ||| C picks collard greens from the ground, plants them in the ground, and then harvests them. ||| C picks collard greens from the ground, plants them in the ground, and then repeats. ||| C picks collard greens from the ground, plants them in the ground, and then eats them.",5
0b7efd4a-f0ae-491c-9230-2131cf9f5f1d,EgoSchema,Ego4D (EgoSchema),vqa,"Without listing every action, provide a concise summary of the key steps c repeatedly takes while working with the thread in the video.","without listing every action, provide a concise summary of the key steps c repeatedly takes while working with the thread in the video.",,,0b7efd4a-f0ae-491c-9230-2131cf9f5f1d,other,without,other,test,False,-1,"C rolls thread on hand, cuts it, drops cotton thread, puts hand on the bowl, moves the bowl, moves cotton, picks thread, and puts hand in the bowl. ||| C repeatedly rolls thread on hand, cuts it, drops cotton thread, and interacts with the bowl. ||| C wraps thread around hand, cuts, drops it, places hand on bowl, shifts bowl, moves cotton, grasps thread, puts hand in bowl, and repeats. ||| C rolls thread on hand, cuts it, drops cotton thread, puts hand on the bowl, moves the bowl, moves cotton, picks thread, and puts hand in the bowl while constantly changing techniques. ||| C rolls thread on hand, cuts it, drops cotton thread, puts hand on the bowl, moves the bowl, moves cotton, picks thread, and puts hand in the bowl, with each action having a different significance.",5
0bbafd74-aa2f-4692-9f7d-7f6f6bf27187,EgoSchema,Ego4D (EgoSchema),vqa,"Considering the main activities in the video, briefly explain the overall process and purpose behind those actions.","considering the main activities in the video, briefly explain the overall process and purpose behind those actions.",,,0bbafd74-aa2f-4692-9f7d-7f6f6bf27187,describe,process,describe,test,False,-1,Preparing and cleaning ingredients for cooking ||| Selecting kitchen tools and organizing cooking ingredients while contemplating recipe ideas ||| Conducting a comprehensive inventory check of kitchen utensils while cleaning select ingredients ||| Streamlining kitchen workspace while engaging with utensils and tools. ||| Learning to use cooking tools and experimenting with various kitchen activities to gain familiarity,5
0bd9a251-cc2c-41ea-9a6c-31cda3519371,EgoSchema,Ego4D (EgoSchema),vqa,Identify the main theme of the video and briefly summarize the key elements that support your conclusion.,identify the main theme of the video and briefly summarize the key elements that support your conclusion.,,,0bd9a251-cc2c-41ea-9a6c-31cda3519371,describe,theme,describe,test,False,-1,"Baseball game is the central theme, featuring c and the man in various roles. ||| The main theme is a baseball tutorial, with c and the man demonstrating various techniques. ||| The main theme is a friendly competition, with c and the man trying to outperform each other. ||| The main theme is teamwork, with c and the man working together to improve their baseball skills. ||| The main theme is baseball practice, with c hitting baseballs pitched by the man.",5
